,Fold,Model,Balanced ACC,AUC,F1,Recall
0,0,None Test,0.8,0.8,0.8000000000000002,0.8
1,0,None Train,0.94375,0.99140625,0.9433962264150944,0.9375
2,1,None Test,0.7,0.8099999999999999,0.7,0.7
3,1,None Train,0.9625,0.991875,0.9615384615384615,0.9375
4,2,None Test,0.525,0.5875,0.5365853658536585,0.55
5,2,None Train,0.9750000000000001,0.9951562500000001,0.9746835443037976,0.9625
6,3,None Test,0.775,0.8225,0.7692307692307692,0.75
7,3,None Train,0.9624999999999999,0.9934375000000001,0.9620253164556962,0.95
8,4,None Test,0.75,0.7475,0.7727272727272727,0.85
9,4,None Train,0.95625,0.9929687500000001,0.9559748427672956,0.95
10,5,None Test,0.775,0.835,0.7804878048780488,0.8
11,5,None Train,0.95625,0.99125,0.9565217391304348,0.9625
12,6,None Test,0.675,0.7449999999999999,0.6666666666666667,0.65
13,6,None Train,0.9375,0.9921875,0.9375,0.9375
14,7,None Test,0.75,0.7324999999999999,0.7368421052631577,0.7
15,7,None Train,0.9750000000000001,0.9935937499999999,0.9746835443037976,0.9625
16,8,None Test,0.775,0.8925000000000001,0.7999999999999999,0.9
17,8,None Train,0.94375,0.99078125,0.9440993788819876,0.95
18,9,None Test,0.75,0.765,0.75,0.75
19,9,None Train,0.95625,0.9934375,0.9559748427672956,0.95
20,10,None Test,0.725,0.7,0.7317073170731706,0.75
21,10,None Train,0.96875,0.99203125,0.9685534591194969,0.9625
22,11,None Test,0.625,0.72,0.6341463414634146,0.65
23,11,None Train,0.94375,0.9896874999999999,0.9433962264150944,0.9375
24,12,None Test,0.7749999999999999,0.7949999999999999,0.7567567567567567,0.7
25,12,None Train,0.9624999999999999,0.9935937499999999,0.9629629629629629,0.975
26,13,None Test,0.825,0.8775,0.8292682926829269,0.85
27,13,None Train,0.95625,0.9928125,0.9565217391304348,0.9625
28,14,None Test,0.75,0.6925,0.761904761904762,0.8
29,14,None Train,0.9625,0.99453125,0.9625000000000001,0.9625
30,15,None Test,0.725,0.74,0.717948717948718,0.7
31,15,None Train,0.95,0.9946875000000001,0.9506172839506174,0.9625
32,16,None Test,0.675,0.7825,0.6976744186046512,0.75
33,16,None Train,0.94375,0.9903125,0.9433962264150944,0.9375
34,17,None Test,0.725,0.845,0.7317073170731706,0.75
35,17,None Train,0.94375,0.98984375,0.9433962264150944,0.9375
36,18,None Test,0.725,0.7875000000000001,0.7317073170731706,0.75
37,18,None Train,0.95,0.9912500000000001,0.9500000000000001,0.95
38,19,None Test,0.725,0.795,0.7317073170731706,0.75
39,19,None Train,0.9625,0.9951562500000001,0.9625000000000001,0.9625
40,20,None Test,0.7250000000000001,0.72,0.7441860465116279,0.8
41,20,None Train,0.9375,0.9940625000000001,0.9375,0.9375
42,21,None Test,0.75,0.815,0.761904761904762,0.8
43,21,None Train,0.95625,0.99125,0.9559748427672956,0.95
44,22,None Test,0.775,0.845,0.7804878048780488,0.8
45,22,None Train,0.94375,0.9921874999999999,0.9433962264150944,0.9375
46,23,None Test,0.725,0.8099999999999999,0.6857142857142857,0.6
47,23,None Train,0.94375,0.98828125,0.9433962264150944,0.9375
48,24,None Test,0.825,0.8775,0.8372093023255814,0.9
49,24,None Train,0.95,0.99203125,0.9500000000000001,0.95
